"Name","API Name","Instance Memory","vCPUs","Physical Processor","Clock Speed(GHz)","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"R6GD Quadruple Extra Large","r6gd.4xlarge","128.0 GiB","16 vCPUs","AWS Graviton2 Processor","2.5 GHz","950 GB                 NVMe SSD","Up to 10 Gigabit","$1.0816 hourly","$0.6814 hourly","$0.2312 hourly","unavailable","unavailable"
"R6I Quadruple Extra Large","r6i.4xlarge","128.0 GiB","16 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","Up to 12.5 Gigabit","$1.1840 hourly","$0.7850 hourly","$0.3708 hourly","$1.9200 hourly","$1.5210 hourly"
"R5 Quadruple Extra Large","r5.4xlarge","128.0 GiB","16 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","Up to 10 Gigabit","$1.1840 hourly","$0.7460 hourly","$0.3831 hourly","$1.9200 hourly","$1.4820 hourly"
"R5AD Quadruple Extra Large","r5ad.4xlarge","128.0 GiB","16 vCPUs","AMD EPYC 7571","2.5 GHz","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","$1.2320 hourly","$0.7760 hourly","$0.4300 hourly","$1.9680 hourly","$1.5120 hourly"
"R4 High-Memory Quadruple Extra Large","r4.4xlarge","122.0 GiB","16 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","EBS only","Up to 10 Gigabit","$1.2480 hourly","$0.7896 hourly","$0.4171 hourly","$1.9840 hourly","$1.5256 hourly"
"G5 Graphics and Machine Learning GPU Extra Large","g5.xlarge","16.0 GiB","4 vCPUs","AMD EPYC 7R32","2.8 GHz","250 GB                 NVMe SSD","Up to 10 Gigabit","$1.2770 hourly","$0.8045 hourly","$0.4404 hourly","$1.4610 hourly","$0.9885 hourly"
"D3 Double Extra Large","d3.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","11880 GB                 (6 * 1980 GB NVMe HDD)","Up to 15 Gigabit","$1.2800 hourly","$0.8060 hourly","$0.1789 hourly","$1.6480 hourly","$1.1740 hourly"
"C6G Eight Extra Large","c6g.8xlarge","64.0 GiB","32 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","12 Gigabit","$1.2928 hourly","$0.8145 hourly","$0.2767 hourly","unavailable","unavailable"
"Z1D 3xlarge","z1d.3xlarge","96.0 GiB","12 vCPUs","Intel Xeon Platinum 8151","4 GHz","450 GB                 NVMe SSD","Up to 10 Gigabit","$1.3180 hourly","$0.8300 hourly","$0.2258 hourly","$1.8700 hourly","$1.3820 hourly"
"IS4GEN Double Extra Large","is4gen.2xlarge","48.0 GiB","8 vCPUs","AWS Graviton2 Processor","2.5 GHz","7500 GB                 NVMe SSD","Up to 25 Gigabit","$1.3413 hourly","$0.9157 hourly","$0.1541 hourly","unavailable","unavailable"
"R5D Quadruple Extra Large","r5d.4xlarge","128.0 GiB","16 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","$1.3520 hourly","$0.8520 hourly","$0.8056 hourly","$2.0880 hourly","$1.5880 hourly"
"C7G Eight Extra Large","c7g.8xlarge","64.0 GiB","32 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","15 Gigabit","$1.3738 hourly","$0.9069 hourly","$0.4037 hourly","unavailable","unavailable"
"INF1 6xlarge","inf1.6xlarge","48.0 GiB","24 vCPUs","Intel Xeon Platinum 8275CL (Cascade Lake)","unknown","EBS only","25 Gigabit","$1.3820 hourly","$0.8710 hourly","$0.1419 hourly","unavailable","unavailable"
"R5N Quadruple Extra Large","r5n.4xlarge","128.0 GiB","16 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","2.5 GHz","EBS only","Up to 25 Gigabit","$1.4000 hourly","$0.8860 hourly","$0.4425 hourly","$2.1360 hourly","$1.6220 hourly"
"R5B Quadruple Extra Large","r5b.4xlarge","128.0 GiB","16 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","EBS only","Up to 10 Gigabit","$1.4000 hourly","$0.8863 hourly","$0.4319 hourly","$2.1360 hourly","$1.6223 hourly"
"G4DN Quadruple Extra Large","g4dn.4xlarge","64.0 GiB","16 vCPUs","Intel Xeon Family","2.5 GHz","225 GB                 NVMe SSD","Up to 25 Gigabit","$1.4090 hourly","$0.9610 hourly","$0.3517 hourly","$2.1450 hourly","$1.6970 hourly"
"R6ID Quadruple Extra Large","r6id.4xlarge","128.0 GiB","16 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","950 GB                 NVMe SSD","Up to 12.5 Gigabit","$1.4196 hourly","$0.8943 hourly","$0.5226 hourly","$2.1556 hourly","$1.6303 hourly"
"M6G Eight Extra Large","m6g.8xlarge","128.0 GiB","32 vCPUs","AWS Graviton2 Processor","unknown","EBS only","12 Gigabit","$1.4208 hourly","$0.8951 hourly","$0.3101 hourly","unavailable","unavailable"
"G3 Graphics GPU Quadruple Extra Large","g3.4xlarge","122.0 GiB","16 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","EBS only","Up to 10 Gigabit","$1.4290 hourly","$1.0101 hourly","$0.4315 hourly","$2.1650 hourly","$1.7461 hourly"
"I3 High I/O Quadruple Extra Large","i3.4xlarge","122.0 GiB","16 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","3800 GB                 (2 * 1900 GB NVMe SSD)","Up to 10 Gigabit","$1.4480 hourly","$0.9910 hourly","$0.4904 hourly","$2.1840 hourly","$1.7270 hourly"
"C6A Eight Extra Large","c6a.8xlarge","64.0 GiB","32 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","12.5 Gigabit","$1.4544 hourly","$0.9601 hourly","$0.4524 hourly","$2.9264 hourly","$2.4321 hourly"
"C5A Eight Extra Large","c5a.8xlarge","64.0 GiB","32 vCPUs","AMD EPYC 7R32","3.3 GHz","EBS only","10 Gigabit","$1.4560 hourly","$0.9170 hourly","$0.4794 hourly","$2.9280 hourly","$2.3890 hourly"
"C6GD Eight Extra Large","c6gd.8xlarge","64.0 GiB","32 vCPUs","AWS Graviton2 Processor","2.5 GHz","1900 GB                 NVMe SSD","12 Gigabit","$1.4720 hourly","$0.9274 hourly","$0.2951 hourly","unavailable","unavailable"
"M7G Eight Extra Large","m7g.8xlarge","128.0 GiB","32 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","15 Gigabit","$1.5098 hourly","$0.9971 hourly","$0.3144 hourly","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU Double Extra Large","g5.2xlarge","32.0 GiB","8 vCPUs","AMD EPYC 7R32","2.8 GHz","450 GB                 NVMe SSD","Up to 10 Gigabit","$1.5385 hourly","$0.9692 hourly","$0.3714 hourly","$1.9065 hourly","$1.3373 hourly"
"D2 Double Extra Large","d2.2xlarge","61.0 GiB","8 vCPUs","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","12288 GB                 (6 * 2048 GB HDD)","High","$1.5440 hourly","$0.9380 hourly","$0.4192 hourly","$1.9120 hourly","$1.3060 hourly"
"I3EN 3xlarge","i3en.3xlarge","96.0 GiB","12 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","7500 GB                 NVMe SSD","Up to 25 Gigabit","$1.5780 hourly","$1.0790 hourly","$0.2393 hourly","$2.1300 hourly","$1.6310 hourly"
"I4I Quadruple Extra Large","i4i.4xlarge","128.0 GiB","16 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","3750 GB                 NVMe SSD","Up to 25 Gigabit","$1.5930 hourly","$1.0390 hourly","$0.6427 hourly","$2.3290 hourly","$1.7750 hourly"
"M6A Eight Extra Large","m6a.8xlarge","128.0 GiB","32 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","12.5 Gigabit","$1.5984 hourly","$1.0557 hourly","$0.4122 hourly","$3.0704 hourly","$2.5278 hourly"
"M5A Eight Extra Large","m5a.8xlarge","128.0 GiB","32 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","Up to 10 Gigabit","$1.6000 hourly","$1.0080 hourly","$0.5872 hourly","$3.0720 hourly","$2.4800 hourly"
"C6I Eight Extra Large","c6i.8xlarge","64.0 GiB","32 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","12.5 Gigabit","$1.6160 hourly","$1.0668 hourly","$0.5129 hourly","$3.0880 hourly","$2.5388 hourly"
"C6GN Eight Extra Large","c6gn.8xlarge","64.0 GiB","32 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","50 Gigabit","$1.6400 hourly","$1.0332 hourly","$0.3297 hourly","unavailable","unavailable"
"M6GD Eight Extra Large","m6gd.8xlarge","128.0 GiB","32 vCPUs","AWS Graviton2 Processor","2.5 GHz","1900 GB                 NVMe SSD","12 Gigabit","$1.6768 hourly","$1.0564 hourly","$0.5372 hourly","unavailable","unavailable"
"IM4GN Quadruple Extra Large","im4gn.4xlarge","64.0 GiB","16 vCPUs","AWS Graviton2 Processor","2.5 GHz","7500 GB                 NVMe SSD","25 Gigabit","$1.6884 hourly","$1.0889 hourly","$0.1829 hourly","unavailable","unavailable"
"C7I Eight Extra Large","c7i.8xlarge","64.0 GiB","32 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","12.5 Gigabit","$1.6968 hourly","$1.1201 hourly","$0.3453 hourly","$3.1688 hourly","$2.5921 hourly"
"M7I-FLEX Eight Extra Large","m7i-flex.8xlarge","128.0 GiB","32 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.5 GHz","EBS only","Up to 12.5 Gigabit","$1.7715 hourly","$1.1702 hourly","$0.4377 hourly","$3.1699 hourly","$2.5686 hourly"
"M6I Eight Extra Large","m6i.8xlarge","128.0 GiB","32 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","12.5 Gigabit","$1.7760 hourly","$1.1731 hourly","$0.5147 hourly","$3.2480 hourly","$2.6451 hourly"
"M5 General Purpose Eight Extra Large","m5.8xlarge","128.0 GiB","32 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","10 Gigabit","$1.7760 hourly","$1.1190 hourly","$0.6328 hourly","$3.2480 hourly","$2.5910 hourly"
"C5 High-CPU 9xlarge","c5.9xlarge","72.0 GiB","36 vCPUs","Intel Xeon Platinum 8124M","3.4 GHz","EBS only","12 Gigabit","$1.8180 hourly","$1.1450 hourly","$0.5402 hourly","$3.4740 hourly","$2.8010 hourly"
"M7I Eight Extra Large","m7i.8xlarge","128.0 GiB","32 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","12.5 Gigabit","$1.8648 hourly","$1.2317 hourly","$0.5808 hourly","$3.3368 hourly","$2.7037 hourly"
"R6G Eight Extra Large","r6g.8xlarge","256.0 GiB","32 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","12 Gigabit","$1.8944 hourly","$1.1935 hourly","$0.3789 hourly","unavailable","unavailable"
"C4 High-CPU Eight Extra Large","c4.8xlarge","60.0 GiB","36 vCPUs","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","EBS only","10 Gigabit","$1.9020 hourly","$1.3100 hourly","$0.5290 hourly","$3.5580 hourly","$2.9660 hourly"
"F1 Double Extra Large","f1.2xlarge","122.0 GiB","8 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","470 GB                 NVMe SSD","Up to 10 Gigabit","$1.9060 hourly","$1.2882 hourly","$0.3382 hourly","unavailable","unavailable"
"M5AD Eight Extra Large","m5ad.8xlarge","128.0 GiB","32 vCPUs","AMD EPYC 7571","2.5 GHz","1200 GB                 (2 * 600 GB NVMe SSD)","Up to 10 Gigabit","$1.9200 hourly","$1.2100 hourly","$0.3043 hourly","$3.3920 hourly","$2.6820 hourly"
"C6ID Eight Extra Large","c6id.8xlarge","64.0 GiB","32 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","1900 GB                 NVMe SSD","12.5 Gigabit","$1.9320 hourly","$1.2172 hourly","$0.3864 hourly","$3.4040 hourly","$2.6892 hourly"
"C6G 12xlarge","c6g.12xlarge","96.0 GiB","48 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","20 Gigabit","$1.9392 hourly","$1.2217 hourly","$0.3880 hourly","unavailable","unavailable"
"R7G Eight Extra Large","r7g.8xlarge","256.0 GiB","32 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","15 Gigabit","$2.0128 hourly","$1.3344 hourly","$0.4063 hourly","unavailable","unavailable"
"G4AD Eight Extra Large","g4ad.8xlarge","128.0 GiB","32 vCPUs","AMD EPYC 7R32","2.8 GHz","1200 GB                 NVMe SSD","15 Gigabit","$2.0280 hourly","$1.3840 hourly","$0.3266 hourly","$3.5000 hourly","$2.8560 hourly"
"C7G 12xlarge","c7g.12xlarge","96.0 GiB","48 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","22.5 Gigabit","$2.0606 hourly","$1.3603 hourly","$0.4812 hourly","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU Quadruple Extra Large","g5.4xlarge","64.0 GiB","16 vCPUs","AMD EPYC 7R32","2.8 GHz","600 GB                 NVMe SSD","Up to 25 Gigabit","$2.0615 hourly","$1.2987 hourly","$0.4712 hourly","$2.7975 hourly","$2.0347 hourly"
"C5 High-CPU 9xlarge","c5d.9xlarge","72.0 GiB","36 vCPUs","Intel Xeon Platinum 8124M","3.4 GHz","900 GB                 NVMe SSD","12 Gigabit","$2.0700 hourly","$1.3040 hourly","$0.9956 hourly","$3.7260 hourly","$2.9600 hourly"
"M5 General Purpose Eight Extra Large","m5d.8xlarge","128.0 GiB","32 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","1200 GB                 (2 * 600 GB NVMe SSD)","10 Gigabit","$2.0960 hourly","$1.3200 hourly","$1.3017 hourly","$3.5680 hourly","$2.7920 hourly"
"X2IEDN Double Extra Large","x2iedn.2xlarge","256.0 GiB","8 vCPUs","Intel Xeon Scalable (Icelake)","3.5 GHz","237 GB                 NVMe SSD","Up to 25 Gigabit","$2.1008 hourly","$1.2926 hourly","$0.3090 hourly","$2.4688 hourly","$1.6606 hourly"
"R5A Eight Extra Large","r5a.8xlarge","256.0 GiB","32 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","Up to 10 Gigabit","$2.1280 hourly","$1.3410 hourly","$0.6415 hourly","$3.6000 hourly","$2.8130 hourly"
"M6G 12xlarge","m6g.12xlarge","192.0 GiB","48 vCPUs","AWS Graviton2 Processor","unknown","EBS only","20 Gigabit","$2.1312 hourly","$1.3427 hourly","$0.4271 hourly","unavailable","unavailable"
"C6IN Eight Extra Large","c6in.8xlarge","64.0 GiB","32 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","50 Gigabit","$2.1504 hourly","$1.3547 hourly","$0.5046 hourly","$3.6224 hourly","$2.8268 hourly"
"R6GD Eight Extra Large","r6gd.8xlarge","256.0 GiB","32 vCPUs","AWS Graviton2 Processor","2.5 GHz","1900 GB                 NVMe SSD","12 Gigabit","$2.1632 hourly","$1.3628 hourly","$0.4390 hourly","unavailable","unavailable"
"C6A 12xlarge","c6a.12xlarge","96.0 GiB","48 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","18.75 Gigabit","$2.1816 hourly","$1.4402 hourly","$0.4469 hourly","$4.3896 hourly","$3.6482 hourly"
"C5A 12xlarge","c5a.12xlarge","96.0 GiB","48 vCPUs","AMD EPYC 7R32","3.3 GHz","EBS only","12 Gigabit","$2.1840 hourly","$1.3760 hourly","$0.5568 hourly","$4.3920 hourly","$3.5840 hourly"
"C6GD 12xlarge","c6gd.12xlarge","96.0 GiB","48 vCPUs","AWS Graviton2 Processor","2.5 GHz","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","$2.2080 hourly","$1.3910 hourly","$0.4416 hourly","unavailable","unavailable"
"M7G 12xlarge","m7g.12xlarge","192.0 GiB","48 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","22.5 Gigabit","$2.2646 hourly","$1.4957 hourly","$0.4532 hourly","unavailable","unavailable"
"C5N 9xlarge","c5n.9xlarge","96.0 GiB","36 vCPUs","Intel Xeon Platinum 8124M","3 GHz","EBS only","50 Gigabit","$2.3040 hourly","$1.4520 hourly","$0.7004 hourly","$3.9600 hourly","$3.1080 hourly"
"M4 General Purpose Deca Extra Large","m4.10xlarge","160.0 GiB","40 vCPUs","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","EBS only","10 Gigabit","$2.3200 hourly","$1.5750 hourly","$0.3930 hourly","$4.1600 hourly","$3.4150 hourly"
"R5 Eight Extra Large","r5.8xlarge","256.0 GiB","32 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","10 Gigabit","$2.3680 hourly","$1.4920 hourly","$0.3816 hourly","$3.8400 hourly","$2.9640 hourly"
"R6I Eight Extra Large","r6i.8xlarge","256.0 GiB","32 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","12.5 Gigabit","$2.3680 hourly","$1.5700 hourly","$0.5283 hourly","$3.8400 hourly","$3.0420 hourly"
"M6A 12xlarge","m6a.12xlarge","192.0 GiB","48 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","18.75 Gigabit","$2.3976 hourly","$1.5836 hourly","$0.7271 hourly","$4.6056 hourly","$3.7916 hourly"
"M5A 12xlarge","m5a.12xlarge","192.0 GiB","48 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","10 Gigabit","$2.4000 hourly","$1.5120 hourly","$0.9283 hourly","$4.6080 hourly","$3.7200 hourly"
"C5 High-CPU 12xlarge","c5.12xlarge","96.0 GiB","48 vCPUs","Intel Xeon Platinum 8275L","3.4 GHz","EBS only","12 Gigabit","$2.4240 hourly","$1.5270 hourly","$0.6416 hourly","$4.6320 hourly","$3.7350 hourly"
"C6I 12xlarge","c6i.12xlarge","96.0 GiB","48 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","18.75 Gigabit","$2.4240 hourly","$1.6002 hourly","$0.5610 hourly","$4.6320 hourly","$3.8082 hourly"
"C6GN 12xlarge","c6gn.12xlarge","96.0 GiB","48 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","75 Gigabit","$2.4600 hourly","$1.5498 hourly","$0.4937 hourly","unavailable","unavailable"
"R5AD Eight Extra Large","r5ad.8xlarge","256.0 GiB","32 vCPUs","AMD EPYC 7571","2.5 GHz","1200 GB                 (2 * 600 GB NVMe SSD)","Up to 10 Gigabit","$2.4640 hourly","$1.5520 hourly","$0.2464 hourly","$3.9360 hourly","$3.0240 hourly"
"R4 High-Memory Eight Extra Large","r4.8xlarge","244.0 GiB","32 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","EBS only","10 Gigabit","$2.4960 hourly","$1.5792 hourly","$0.7731 hourly","$3.9680 hourly","$3.0512 hourly"
"M6GD 12xlarge","m6gd.12xlarge","192.0 GiB","48 vCPUs","AWS Graviton2 Processor","2.5 GHz","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","$2.5152 hourly","$1.5846 hourly","$0.5036 hourly","unavailable","unavailable"
"C7I 12xlarge","c7i.12xlarge","96.0 GiB","48 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","18.75 Gigabit","$2.5452 hourly","$1.6802 hourly","$0.5116 hourly","$4.7532 hourly","$3.8882 hourly"
"G4DN Eight Extra Large","g4dn.8xlarge","128.0 GiB","32 vCPUs","Intel Xeon Family","2.5 GHz","900 GB                 NVMe SSD","50 Gigabit","$2.5460 hourly","$1.7380 hourly","$0.2970 hourly","$4.0180 hourly","$3.2100 hourly"
"D3 Quadruple Extra Large","d3.4xlarge","128.0 GiB","16 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","23760 GB                 (12 * 1980 GB NVMe HDD)","Up to 15 Gigabit","$2.5590 hourly","$1.6120 hourly","$0.5308 hourly","$3.2950 hourly","$2.3480 hourly"
"C6G 16xlarge","c6g.16xlarge","128.0 GiB","64 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","25 Gigabit","$2.5856 hourly","$1.6289 hourly","$0.5171 hourly","unavailable","unavailable"
"C6G Metal","c6g.metal","128.0 GiB","64 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","25 Gigabit","$2.5856 hourly","$1.6289 hourly","$0.5171 hourly","unavailable","unavailable"
"Z1D 6xlarge","z1d.6xlarge","192.0 GiB","24 vCPUs","Intel Xeon Platinum 8151","4 GHz","900 GB                 NVMe SSD","12 Gigabit","$2.6360 hourly","$1.6610 hourly","$0.2838 hourly","$3.7400 hourly","$2.7650 hourly"
"M5 General Purpose 12xlarge","m5.12xlarge","192.0 GiB","48 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","12 Gigabit","$2.6640 hourly","$1.6780 hourly","$0.7152 hourly","$4.8720 hourly","$3.8860 hourly"
"M6I 12xlarge","m6i.12xlarge","192.0 GiB","48 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","18.75 Gigabit","$2.6640 hourly","$1.7596 hourly","$0.5634 hourly","$4.8720 hourly","$3.9676 hourly"
"IS4GEN Quadruple Extra Large","is4gen.4xlarge","96.0 GiB","16 vCPUs","AWS Graviton2 Processor","2.5 GHz","15000 GB                 (2 * 7500 GB NVMe SSD)","25 Gigabit","$2.6826 hourly","$1.8314 hourly","$0.3166 hourly","unavailable","unavailable"
"R5D Eight Extra Large","r5d.8xlarge","256.0 GiB","32 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","1200 GB                 (2 * 600 GB NVMe SSD)","10 Gigabit","$2.7040 hourly","$1.7040 hourly","$1.5655 hourly","$4.1760 hourly","$3.1760 hourly"
"C7G 16xlarge","c7g.16xlarge","128.0 GiB","64 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","30 Gigabit","$2.7475 hourly","$1.8138 hourly","$0.5505 hourly","unavailable","unavailable"
"C7G Metal","c7g.metal","128.0 GiB","64 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","30 Gigabit","$2.7475 hourly","$1.8138 hourly","$0.5495 hourly","unavailable","unavailable"
"C5 High-CPU 12xlarge","c5d.12xlarge","96.0 GiB","48 vCPUs","Intel Xeon Platinum 8275L","3.4 GHz","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","$2.7600 hourly","$1.7390 hourly","$0.5285 hourly","$4.9680 hourly","$3.9470 hourly"
"M7I 12xlarge","m7i.12xlarge","192.0 GiB","48 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","18.75 Gigabit","$2.7972 hourly","$1.8476 hourly","$0.7017 hourly","$5.0052 hourly","$4.0556 hourly"
"R5N Eight Extra Large","r5n.8xlarge","256.0 GiB","32 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","2.5 GHz","EBS only","25 Gigabit","$2.8000 hourly","$1.7730 hourly","$0.7213 hourly","$4.2720 hourly","$3.2450 hourly"
"R5B Eight Extra Large","r5b.8xlarge","256.0 GiB","32 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","EBS only","10 Gigabit","$2.8000 hourly","$1.7725 hourly","$0.6371 hourly","$4.2720 hourly","$3.2445 hourly"
"R6ID Eight Extra Large","r6id.8xlarge","256.0 GiB","32 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","1900 GB                 NVMe SSD","12.5 Gigabit","$2.8392 hourly","$1.7887 hourly","$0.8680 hourly","$4.3112 hourly","$3.2607 hourly"
"R6G 12xlarge","r6g.12xlarge","384.0 GiB","48 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","20 Gigabit","$2.8416 hourly","$1.7902 hourly","$0.5688 hourly","unavailable","unavailable"
"M6G Metal","m6g.metal","256.0 GiB","64 vCPUs","AWS Graviton2 Processor","unknown","EBS only","25 Gigabit","$2.8416 hourly","$1.7902 hourly","$0.5683 hourly","unavailable","unavailable"
"M6G 16xlarge","m6g.16xlarge","256.0 GiB","64 vCPUs","AWS Graviton2 Processor","unknown","EBS only","25 Gigabit","$2.8416 hourly","$1.7902 hourly","$0.5683 hourly","unavailable","unavailable"
"G3 Graphics GPU Eight Extra Large","g3.8xlarge","244.0 GiB","32 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","EBS only","10 Gigabit","$2.8580 hourly","$2.0202 hourly","$0.6527 hourly","$4.3300 hourly","$3.4922 hourly"
"M5AD 12xlarge","m5ad.12xlarge","192.0 GiB","48 vCPUs","AMD EPYC 7571","2.5 GHz","1800 GB                 (2 * 900 GB NVMe SSD)","10 Gigabit","$2.8800 hourly","$1.8140 hourly","$0.2880 hourly","$5.0880 hourly","$4.0220 hourly"
"I3 High I/O Eight Extra Large","i3.8xlarge","244.0 GiB","32 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","7600 GB                 (4 * 1900 GB NVMe SSD)","10 Gigabit","$2.8960 hourly","$1.9820 hourly","$0.9456 hourly","$4.3680 hourly","$3.4540 hourly"
"C6ID 12xlarge","c6id.12xlarge","96.0 GiB","48 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","2850 GB                 (2 * 1425 GB NVMe SSD)","18.75 Gigabit","$2.8980 hourly","$1.8257 hourly","$0.5840 hourly","$5.1060 hourly","$4.0337 hourly"
"C6A 16xlarge","c6a.16xlarge","128.0 GiB","64 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","25 Gigabit","$2.9088 hourly","$1.9202 hourly","$0.6020 hourly","$5.8528 hourly","$4.8642 hourly"
"C5A 16xlarge","c5a.16xlarge","128.0 GiB","64 vCPUs","AMD EPYC 7R32","3.3 GHz","EBS only","20 Gigabit","$2.9120 hourly","$1.8350 hourly","$0.4814 hourly","$5.8560 hourly","$4.7790 hourly"
"C6GD Metal","c6gd.metal","128.0 GiB","64 vCPUs","AWS Graviton2 Processor","2.5 GHz","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$2.9440 hourly","$1.8547 hourly","$0.5888 hourly","unavailable","unavailable"
"C6GD 16xlarge","c6gd.16xlarge","128.0 GiB","64 vCPUs","AWS Graviton2 Processor","2.5 GHz","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$2.9440 hourly","$1.8547 hourly","$0.5888 hourly","unavailable","unavailable"
"R7G 12xlarge","r7g.12xlarge","384.0 GiB","48 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","22.5 Gigabit","$3.0192 hourly","$2.0016 hourly","$0.6083 hourly","unavailable","unavailable"
"M7G 16xlarge","m7g.16xlarge","256.0 GiB","64 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","30 Gigabit","$3.0195 hourly","$1.9942 hourly","$0.6040 hourly","unavailable","unavailable"
"M7G Metal","m7g.metal","256.0 GiB","64 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","30 Gigabit","$3.0195 hourly","$1.9942 hourly","$0.6039 hourly","unavailable","unavailable"
"D2 Quadruple Extra Large","d2.4xlarge","122.0 GiB","16 vCPUs","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","24576 GB                 (12 * 2048 GB HDD)","High","$3.0870 hourly","$1.8770 hourly","$0.7722 hourly","$3.8230 hourly","$2.6130 hourly"
