"Name","API Name","Instance Memory","vCPUs","Physical Processor","Clock Speed(GHz)","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"C5 High-CPU Large","c5.large","4.0 GiB","2 vCPUs","Intel Xeon Platinum 8124M","3.4 GHz","EBS only","Up to 10 Gigabit","$0.1010 hourly","$0.0640 hourly","$0.0348 hourly","$0.1930 hourly","$0.1560 hourly"
"C6I Large","c6i.large","4.0 GiB","2 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","Up to 12.5 Gigabit","$0.1010 hourly","$0.0667 hourly","$0.0312 hourly","$0.1930 hourly","$0.1587 hourly"
"C6GN Large","c6gn.large","4.0 GiB","2 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","Up to 25 Gigabit","$0.1025 hourly","$0.0646 hourly","$0.0253 hourly","unavailable","unavailable"
"M6GD Large","m6gd.large","8.0 GiB","2 vCPUs","AWS Graviton2 Processor","2.5 GHz","118 GB                 NVMe SSD","Up to 10 Gigabit","$0.1048 hourly","$0.0660 hourly","$0.0263 hourly","unavailable","unavailable"
"T2 Large","t2.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","Intel Xeon Family","Up to 3.3 GHz","EBS only","Low to Moderate","$0.1056 hourly","$0.0727 hourly","$0.0305 hourly","$0.1336 hourly","$0.1007 hourly"
"C7I Large","c7i.large","4.0 GiB","2 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","Up to 12.5 Gigabit","$0.1061 hourly","$0.0700 hourly","$0.0213 hourly","$0.1981 hourly","$0.1620 hourly"
"M7I-FLEX Large","m7i-flex.large","8.0 GiB","2 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.5 GHz","EBS only","Up to 12.5 Gigabit","$0.1107 hourly","$0.0731 hourly","$0.0330 hourly","$0.1981 hourly","$0.1605 hourly"
"M6I Large","m6i.large","8.0 GiB","2 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","Up to 12.5 Gigabit","$0.1110 hourly","$0.0733 hourly","$0.0314 hourly","$0.2030 hourly","$0.1653 hourly"
"M5 General Purpose Large","m5.large","8.0 GiB","2 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","Up to 10 Gigabit","$0.1110 hourly","$0.0700 hourly","$0.0361 hourly","$0.2030 hourly","$0.1620 hourly"
"C5 High-CPU Large","c5d.large","4.0 GiB","2 vCPUs","Intel Xeon Platinum 8124M","3.4 GHz","50 GB                 NVMe SSD","Up to 10 Gigabit","$0.1150 hourly","$0.0720 hourly","$0.0375 hourly","$0.2070 hourly","$0.1640 hourly"
"M4 General Purpose Large","m4.large","8.0 GiB","2 vCPUs","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","EBS only","Moderate","$0.1160 hourly","$0.0787 hourly","$0.0376 hourly","$0.2080 hourly","$0.1707 hourly"
"M7I Large","m7i.large","8.0 GiB","2 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","Up to 12.5 Gigabit","$0.1166 hourly","$0.0770 hourly","$0.0387 hourly","$0.2086 hourly","$0.1690 hourly"
"R6G Large","r6g.large","16.0 GiB","2 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","Up to 10 Gigabit","$0.1184 hourly","$0.0746 hourly","$0.0272 hourly","unavailable","unavailable"
"C4 High-CPU Large","c4.large","3.75 GiB","2 vCPUs","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","EBS only","Moderate","$0.1190 hourly","$0.0820 hourly","$0.0366 hourly","$0.2110 hourly","$0.1740 hourly"
"M5AD Large","m5ad.large","8.0 GiB","2 vCPUs","AMD EPYC 7571","2.5 GHz","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1200 hourly","$0.0760 hourly","$0.0449 hourly","$0.2120 hourly","$0.1680 hourly"
"C6ID Large","c6id.large","4.0 GiB","2 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1207 hourly","$0.0761 hourly","$0.0300 hourly","$0.2127 hourly","$0.1681 hourly"
"R7G Large","r7g.large","16.0 GiB","2 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","Up to 12.5 Gigabit","$0.1258 hourly","$0.0834 hourly","$0.0256 hourly","unavailable","unavailable"
"C5N Large","c5n.large","5.25 GiB","2 vCPUs","Intel Xeon Platinum 8124M","3 GHz","EBS only","Up to 25 Gigabit","$0.1280 hourly","$0.0810 hourly","$0.0361 hourly","$0.2200 hourly","$0.1730 hourly"
"M5 General Purpose Large","m5d.large","8.0 GiB","2 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1310 hourly","$0.0830 hourly","$0.0450 hourly","$0.2230 hourly","$0.1750 hourly"
"R5A Large","r5a.large","16.0 GiB","2 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","Up to 10 Gigabit","$0.1330 hourly","$0.0840 hourly","$0.0459 hourly","$0.2250 hourly","$0.1760 hourly"
"C6IN Large","c6in.large","4.0 GiB","2 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","Up to 25 Gigabit","$0.1344 hourly","$0.0847 hourly","$0.0358 hourly","$0.2264 hourly","$0.1767 hourly"
"R6GD Large","r6gd.large","16.0 GiB","2 vCPUs","AWS Graviton2 Processor","2.5 GHz","118 GB                 NVMe SSD","Up to 10 Gigabit","$0.1352 hourly","$0.0852 hourly","$0.0307 hourly","unavailable","unavailable"
"R6I Large","r6i.large","16.0 GiB","2 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","Up to 12.5 Gigabit","$0.1480 hourly","$0.0981 hourly","$0.0470 hourly","$0.2400 hourly","$0.1901 hourly"
"R5 Large","r5.large","16.0 GiB","2 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","Up to 10 Gigabit","$0.1480 hourly","$0.0930 hourly","$0.0511 hourly","$0.2400 hourly","$0.1850 hourly"
"T4G Extra Large","t4g.xlarge","16.0 GiB","4 vCPUs                                                         for a                   9h 36m                   burst","AWS Graviton2 Processor","2.5 GHz","EBS only","Up to 5 Gigabit","$0.1504 hourly","$0.0949 hourly","$0.0511 hourly","unavailable","unavailable"
"R5AD Large","r5ad.large","16.0 GiB","2 vCPUs","AMD EPYC 7571","2.5 GHz","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1540 hourly","$0.0970 hourly","$0.0477 hourly","$0.2460 hourly","$0.1890 hourly"
"R4 High-Memory Large","r4.large","15.25 GiB","2 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","EBS only","Up to 10 Gigabit","$0.1560 hourly","$0.0987 hourly","$0.0462 hourly","$0.2480 hourly","$0.1907 hourly"
